98.10.19 20:06 B C:\document\robots\Olympics\1on1\l7team2b.prg <-- robot /robots/normal l7team2b.prg
99.04.23 17:07 B C:\document\robots\Olympics\1on1\1on1.rbc --> s4.virtualave.net /public_html/rbolympics/1on1 1on1.rbc
99.04.23 17:07 B C:\document\robots\Olympics\1on1\ALBUNDY2.DST --> s4.virtualave.net /public_html/rbolympics/1on1 ALBUNDY2.DST
99.04.23 17:07 B C:\document\robots\Olympics\1on1\BRAINO.PRG --> s4.virtualave.net /public_html/rbolympics/1on1 BRAINO.PRG
99.04.23 17:07 B C:\document\robots\Olympics\1on1\Calvin15.prg --> s4.virtualave.net /public_html/rbolympics/1on1 Calvin15.prg
99.04.23 17:07 B C:\document\robots\Olympics\1on1\Cdg-40.dst --> s4.virtualave.net /public_html/rbolympics/1on1 Cdg-40.dst
99.04.23 17:07 B C:\document\robots\Olympics\1on1\Dantet1.prg --> s4.virtualave.net /public_html/rbolympics/1on1 Dantet1.prg
99.04.23 17:07 B C:\document\robots\Olympics\1on1\Deflatermous.prg --> s4.virtualave.net /public_html/rbolympics/1on1 Deflatermous.prg
99.04.23 17:07 B C:\document\robots\Olympics\1on1\fulfireb.dst --> s4.virtualave.net /public_html/rbolympics/1on1 fulfireb.dst
99.04.23 17:07 B C:\document\robots\Olympics\1on1\Goethe10.dst --> s4.virtualave.net /public_html/rbolympics/1on1 Goethe10.dst
99.04.23 17:07 B C:\document\robots\Olympics\1on1\l7team2b.prg --> s4.virtualave.net /public_html/rbolympics/1on1 l7team2b.prg
99.04.23 17:07 B C:\document\robots\Olympics\1on1\LEGION13.PRG --> s4.virtualave.net /public_html/rbolympics/1on1 LEGION13.PRG
99.04.23 17:07 B C:\document\robots\Olympics\1on1\LLuke269.prg --> s4.virtualave.net /public_html/rbolympics/1on1 LLuke269.prg
99.04.23 17:08 B C:\document\robots\Olympics\1on1\Lycan118.prg --> s4.virtualave.net /public_html/rbolympics/1on1 Lycan118.prg
99.04.23 17:08 B C:\document\robots\Olympics\1on1\MARVIN12.DST --> s4.virtualave.net /public_html/rbolympics/1on1 MARVIN12.DST
99.04.23 17:08 B C:\document\robots\Olympics\1on1\Nimbus.prg --> s4.virtualave.net /public_html/rbolympics/1on1 Nimbus.prg
99.04.23 17:08 B C:\document\robots\Olympics\1on1\RESULTS.TXT --> s4.virtualave.net /public_html/rbolympics/1on1 RESULTS.TXT
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round1.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round1.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round10.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round10.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round2.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round2.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round3.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round3.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round4.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round4.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round5.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round5.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round6.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round6.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round7.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round7.txt
99.04.23 17:08 B C:\document\robots\Olympics\1on1\round8.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round8.txt
99.04.23 17:09 B C:\document\robots\Olympics\1on1\round9.txt --> s4.virtualave.net /public_html/rbolympics/1on1 round9.txt
99.04.23 17:09 B C:\document\robots\Olympics\1on1\SPOT.PRG --> s4.virtualave.net /public_html/rbolympics/1on1 SPOT.PRG
99.04.23 17:09 B C:\document\robots\Olympics\1on1\Whitman1.dst --> s4.virtualave.net /public_html/rbolympics/1on1 Whitman1.dst
