goethe         416     calvin              
calvin         584     goethe              

al bundy            braino              
braino              al bundy            

spot                lycanthrope         
lycanthrope         spot                

Lucky Luke          marvin              
marvin              lucky luke          

malarie             nimbus              
nimbus              malarie             

worms4a             whitman             
whitman             worms4a             

coup de grace       worms3a             
worms3a             coupdegrace         

dante               deflatermouse       
deflatermouse       dante               

Loss by default: 16 legion                    ,
Bye            : 8 fullfire                  ,
